#lambda (Ang), continuum-normalized flux
6319.540, 0.9943
6319.680, 0.9954
6319.820, 0.9963
6319.960, 0.9969
6320.100, 0.9974
6320.240, 0.9978
6320.380, 0.9980
6320.520, 0.9982
6320.660, 0.9982
6320.800, 0.9982
6320.940, 0.9982
6321.080, 0.9980
6321.220, 0.9977
6321.360, 0.9972
6321.500, 0.9965
6321.640, 0.9956
6321.780, 0.9945
6321.920, 0.9932
6322.060, 0.9919
6322.200, 0.9906
6322.340, 0.9895
6322.480, 0.9886
6322.620, 0.9882
6322.760, 0.9882
6322.900, 0.9887
6323.040, 0.9896
6323.180, 0.9908
6323.320, 0.9922
6323.460, 0.9936
6323.600, 0.9950
6323.740, 0.9962
6323.880, 0.9972
6324.020, 0.9980
6324.160, 0.9986
6324.300, 0.9990
6324.440, 0.9993
6324.580, 0.9995
6324.720, 0.9996
6324.860, 0.9997
6325.000, 0.9997
6325.140, 0.9998
6325.280, 0.9998
6325.420, 0.9998
6325.560, 0.9998
6325.700, 0.9997
6325.840, 0.9997
6325.980, 0.9996
6326.120, 0.9995
6326.260, 0.9994
6326.400, 0.9992
6326.540, 0.9990
6326.680, 0.9987
6326.820, 0.9984
6326.960, 0.9981
6327.100, 0.9977
6327.240, 0.9975
6327.380, 0.9972
6327.520, 0.9971
6327.660, 0.9971
6327.800, 0.9972
6327.940, 0.9974
6328.080, 0.9977
6328.220, 0.9980
6328.360, 0.9983
6328.500, 0.9986
6328.640, 0.9988
6328.780, 0.9990
6328.920, 0.9991
6329.060, 0.9991
6329.200, 0.9990
6329.340, 0.9989
6329.480, 0.9987
6329.620, 0.9985
6329.760, 0.9982
6329.900, 0.9979
6330.040, 0.9977
6330.180, 0.9975
6330.320, 0.9973
6330.460, 0.9972
6330.600, 0.9972
6330.740, 0.9972
6330.880, 0.9973
6331.020, 0.9974
6331.160, 0.9976
6331.300, 0.9977
6331.440, 0.9979
6331.580, 0.9981
6331.720, 0.9983
6331.860, 0.9985
6332.000, 0.9987
6332.140, 0.9988
6332.280, 0.9990
6332.420, 0.9991
6332.560, 0.9992
6332.700, 0.9993
6332.840, 0.9994
6332.980, 0.9995
6333.120, 0.9995
6333.260, 0.9995
6333.400, 0.9993
6333.540, 0.9990
6333.680, 0.9985
6333.820, 0.9977
6333.960, 0.9965
6334.100, 0.9949
6334.240, 0.9928
6334.380, 0.9902
6334.520, 0.9871
6334.660, 0.9838
6334.800, 0.9803
6334.940, 0.9771
6335.080, 0.9742
6335.220, 0.9720
6335.360, 0.9706
6335.500, 0.9699
6335.640, 0.9698
6335.780, 0.9701
6335.920, 0.9705
6336.060, 0.9709
6336.200, 0.9710
6336.340, 0.9710
6336.480, 0.9709
6336.620, 0.9710
6336.760, 0.9714
6336.900, 0.9724
6337.040, 0.9741
6337.180, 0.9764
6337.320, 0.9791
6337.460, 0.9820
6337.600, 0.9850
6337.740, 0.9877
6337.880, 0.9900
6338.020, 0.9917
6338.160, 0.9929
6338.300, 0.9935
6338.440, 0.9938
6338.580, 0.9938
6338.720, 0.9936
6338.860, 0.9935
6339.000, 0.9935
6339.140, 0.9937
6339.280, 0.9940
6339.420, 0.9945
6339.560, 0.9952
6339.700, 0.9959
6339.840, 0.9967
6339.980, 0.9974
6340.120, 0.9980
6340.260, 0.9985
6340.400, 0.9989
6340.540, 0.9992
6340.680, 0.9994
6340.820, 0.9995
6340.960, 0.9996
6341.100, 0.9997
6341.240, 0.9997
6341.380, 0.9997
6341.520, 0.9997
6341.660, 0.9996
6341.800, 0.9996
6341.940, 0.9996
6342.080, 0.9996
6342.220, 0.9995
6342.360, 0.9995
6342.500, 0.9994
6342.640, 0.9992
6342.780, 0.9990
6342.920, 0.9987
6343.060, 0.9982
6343.200, 0.9977
6343.340, 0.9971
6343.480, 0.9964
6343.620, 0.9957
6343.760, 0.9950
6343.900, 0.9945
6344.040, 0.9942
6344.180, 0.9941
6344.320, 0.9942
6344.460, 0.9945
6344.600, 0.9951
6344.740, 0.9957
6344.880, 0.9964
6345.020, 0.9971
6345.160, 0.9977
6345.300, 0.9982
6345.440, 0.9985
6345.580, 0.9986
6345.720, 0.9986
6345.860, 0.9984
6346.000, 0.9980
6346.140, 0.9975
6346.280, 0.9969
6346.420, 0.9962
6346.560, 0.9955
6346.700, 0.9948
6346.840, 0.9942
6346.980, 0.9938
6347.120, 0.9937
6347.260, 0.9938
6347.400, 0.9941
6347.540, 0.9947
6347.680, 0.9953
6347.820, 0.9960
6347.960, 0.9968
6348.100, 0.9974
6348.240, 0.9980
6348.380, 0.9985
6348.520, 0.9988
6348.660, 0.9991
6348.800, 0.9993
6348.940, 0.9994
6349.080, 0.9995
6349.220, 0.9995
6349.360, 0.9995
6349.500, 0.9995
6349.640, 0.9995
6349.780, 0.9995
6349.920, 0.9994
6350.060, 0.9994
6350.200, 0.9994
6350.340, 0.9994
6350.480, 0.9993
6350.620, 0.9993
6350.760, 0.9994
6350.900, 0.9994
6351.040, 0.9994
6351.180, 0.9994
6351.320, 0.9995
6351.460, 0.9995
6351.600, 0.9996
6351.740, 0.9996
6351.880, 0.9996
6352.020, 0.9996
6352.160, 0.9996
6352.300, 0.9996
6352.440, 0.9996
6352.580, 0.9996
6352.720, 0.9995
6352.860, 0.9995
6353.000, 0.9994
6353.140, 0.9993
6353.280, 0.9992
6353.420, 0.9990
6353.560, 0.9987
6353.700, 0.9982
6353.840, 0.9977
6353.980, 0.9969
6354.120, 0.9960
6354.260, 0.9949
6354.400, 0.9938
6354.540, 0.9927
6354.680, 0.9916
6354.820, 0.9908
6354.960, 0.9903
6355.100, 0.9902
6355.240, 0.9905
6355.380, 0.9911
6355.520, 0.9920
6355.660, 0.9931
6355.800, 0.9943
6355.940, 0.9954
6356.080, 0.9964
6356.220, 0.9973
6356.360, 0.9980
6356.500, 0.9986
6356.640, 0.9989
6356.780, 0.9991
6356.920, 0.9992
6357.060, 0.9991
6357.200, 0.9989
6357.340, 0.9985
6357.480, 0.9980
6357.620, 0.9974
6357.760, 0.9966
6357.900, 0.9957
6358.040, 0.9947
6358.180, 0.9937
6358.320, 0.9928
6358.460, 0.9922
6358.600, 0.9918
6358.740, 0.9917
6358.880, 0.9919
6359.020, 0.9925
6359.160, 0.9932
6359.300, 0.9942
6359.440, 0.9951
6359.580, 0.9960
6359.720, 0.9968
6359.860, 0.9974
6360.000, 0.9979
6360.140, 0.9982
6360.280, 0.9984
6360.420, 0.9985
6360.560, 0.9985
6360.700, 0.9985
6360.840, 0.9985
6360.980, 0.9984
6361.120, 0.9984
6361.260, 0.9983
6361.400, 0.9981
6361.540, 0.9980
6361.680, 0.9978
6361.820, 0.9975
6361.960, 0.9972
6362.100, 0.9969
6362.240, 0.9966
6362.380, 0.9964
6362.520, 0.9962
6362.660, 0.9961
6362.800, 0.9962
6362.940, 0.9963
6363.080, 0.9964
6363.220, 0.9967
6363.360, 0.9969
6363.500, 0.9971
6363.640, 0.9972
6363.780, 0.9974
6363.920, 0.9974
6364.060, 0.9975
6364.200, 0.9975
6364.340, 0.9975
6364.480, 0.9976
6364.620, 0.9977
6364.760, 0.9978
6364.900, 0.9980
6365.040, 0.9981
6365.180, 0.9983
6365.320, 0.9984
6365.460, 0.9985
6365.600, 0.9985
6365.740, 0.9984
6365.880, 0.9983
6366.020, 0.9982
6366.160, 0.9981
6366.300, 0.9981
6366.440, 0.9981
6366.580, 0.9981
6366.720, 0.9982
6366.860, 0.9983
6367.000, 0.9985
6367.140, 0.9987
6367.280, 0.9989
6367.420, 0.9991
6367.560, 0.9992
6367.700, 0.9993
6367.840, 0.9994
6367.980, 0.9994
6368.120, 0.9994
6368.260, 0.9993
6368.400, 0.9992
6368.540, 0.9990
6368.680, 0.9987
6368.820, 0.9985
6368.960, 0.9982
6369.100, 0.9979
6369.240, 0.9977
6369.380, 0.9975
6369.520, 0.9974
6369.660, 0.9973
6369.800, 0.9973
6369.940, 0.9972
6370.080, 0.9972
6370.220, 0.9972
6370.360, 0.9971
6370.500, 0.9970
6370.640, 0.9969
6370.780, 0.9967
6370.920, 0.9965
6371.060, 0.9964
6371.200, 0.9963
6371.340, 0.9963
6371.480, 0.9964
6371.620, 0.9967
6371.760, 0.9970
6371.900, 0.9974
6372.040, 0.9978
6372.180, 0.9982
6372.320, 0.9986
6372.460, 0.9989
6372.600, 0.9992
6372.740, 0.9994
6372.880, 0.9995
6373.020, 0.9996
6373.160, 0.9997
6373.300, 0.9997
6373.440, 0.9997
6373.580, 0.9997
6373.720, 0.9997
6373.860, 0.9997
6374.000, 0.9997
6374.140, 0.9997
6374.280, 0.9997
6374.420, 0.9997
6374.560, 0.9996
6374.700, 0.9996
6374.840, 0.9996
6374.980, 0.9995
6375.120, 0.9995
6375.260, 0.9995
6375.400, 0.9995
6375.540, 0.9995
6375.680, 0.9995
6375.820, 0.9995
6375.960, 0.9995
6376.100, 0.9995
6376.240, 0.9995
6376.380, 0.9995
6376.520, 0.9995
6376.660, 0.9995
6376.800, 0.9995
6376.940, 0.9994
6377.080, 0.9993
6377.220, 0.9991
6377.360, 0.9989
6377.500, 0.9987
6377.640, 0.9985
6377.780, 0.9983
6377.920, 0.9981
6378.060, 0.9979
6378.200, 0.9978
6378.340, 0.9978
6378.480, 0.9979
6378.620, 0.9980
6378.760, 0.9982
6378.900, 0.9983
6379.040, 0.9985
6379.180, 0.9986
6379.320, 0.9986
6379.460, 0.9985
6379.600, 0.9983
6379.740, 0.9980
6379.880, 0.9976
6380.020, 0.9971
6380.160, 0.9966
6380.300, 0.9961
6380.440, 0.9957
6380.580, 0.9954
6380.720, 0.9953
6380.860, 0.9953
6381.000, 0.9956
6381.140, 0.9959
6381.280, 0.9964
6381.420, 0.9969
6381.560, 0.9975
6381.700, 0.9980
6381.840, 0.9984
6381.980, 0.9988
6382.120, 0.9990
6382.260, 0.9992
6382.400, 0.9993
6382.540, 0.9994
6382.680, 0.9994
6382.820, 0.9994
6382.960, 0.9993
6383.100, 0.9992
6383.240, 0.9990
6383.380, 0.9989
6383.520, 0.9987
6383.660, 0.9986
6383.800, 0.9984
6383.940, 0.9982
6384.080, 0.9981
6384.220, 0.9980
6384.360, 0.9979
6384.500, 0.9978
6384.640, 0.9978
6384.780, 0.9978
6384.920, 0.9979
6385.060, 0.9980
6385.200, 0.9981
6385.340, 0.9982
6385.480, 0.9984
6385.620, 0.9985
6385.760, 0.9987
6385.900, 0.9988
6386.040, 0.9990
6386.180, 0.9991
6386.320, 0.9992
6386.460, 0.9993
6386.600, 0.9994
6386.740, 0.9995
6386.880, 0.9996
6387.020, 0.9996
6387.160, 0.9996
6387.300, 0.9996
6387.440, 0.9997
6387.580, 0.9997
6387.720, 0.9997
6387.860, 0.9997
6388.000, 0.9996
6388.140, 0.9996
6388.280, 0.9996
6388.420, 0.9996
6388.560, 0.9996
6388.700, 0.9996
6388.840, 0.9996
6388.980, 0.9996
6389.120, 0.9996
6389.260, 0.9996
6389.400, 0.9996
6389.540, 0.9996
6389.680, 0.9996
6389.820, 0.9996
6389.960, 0.9995
6390.100, 0.9995
6390.240, 0.9995
6390.380, 0.9995
6390.520, 0.9994
6390.660, 0.9994
6390.800, 0.9994
6390.940, 0.9994
6391.080, 0.9994
6391.220, 0.9993
6391.360, 0.9992
6391.500, 0.9990
6391.640, 0.9987
6391.780, 0.9982
6391.920, 0.9974
6392.060, 0.9962
6392.200, 0.9946
6392.340, 0.9923
6392.480, 0.9894
6392.620, 0.9858
6392.760, 0.9817
6392.900, 0.9772
6393.040, 0.9726
6393.180, 0.9683
6393.320, 0.9649
6393.460, 0.9626
6393.600, 0.9617
6393.740, 0.9623
6393.880, 0.9644
6394.020, 0.9677
6394.160, 0.9719
6394.300, 0.9765
6394.440, 0.9811
6394.580, 0.9853
6394.720, 0.9890
6394.860, 0.9921
6395.000, 0.9944
6395.140, 0.9962
6395.280, 0.9974
6395.420, 0.9982
6395.560, 0.9987
6395.700, 0.9991
6395.840, 0.9993
6395.980, 0.9994
6396.120, 0.9995
6396.260, 0.9995
6396.400, 0.9996
6396.540, 0.9996
6396.680, 0.9996
6396.820, 0.9996
6396.960, 0.9996
6397.100, 0.9996
6397.240, 0.9996
6397.380, 0.9995
6397.520, 0.9995
6397.660, 0.9994
6397.800, 0.9993
6397.940, 0.9990
6398.080, 0.9986
6398.220, 0.9978
6398.360, 0.9967
6398.500, 0.9951
6398.640, 0.9927
6398.780, 0.9894
6398.920, 0.9852
6399.060, 0.9800
6399.200, 0.9740
6399.340, 0.9674
6399.480, 0.9608
6399.620, 0.9547
6399.760, 0.9497
6399.900, 0.9463
6400.040, 0.9449
6400.180, 0.9457
6400.320, 0.9486
6400.460, 0.9533
6400.600, 0.9592
6400.740, 0.9657
6400.880, 0.9724
6401.020, 0.9785
6401.160, 0.9840
6401.300, 0.9885
6401.440, 0.9920
6401.580, 0.9946
6401.720, 0.9965
6401.860, 0.9977
6402.000, 0.9985
6402.140, 0.9990
6402.280, 0.9993
6402.420, 0.9995
6402.560, 0.9996
6402.700, 0.9996
6402.840, 0.9996
6402.980, 0.9996
6403.120, 0.9996
6403.260, 0.9996
6403.400, 0.9996
6403.540, 0.9996
6403.680, 0.9997
6403.820, 0.9997
6403.960, 0.9997
6404.100, 0.9997
6404.240, 0.9997
6404.380, 0.9997
6404.520, 0.9997
6404.660, 0.9997
6404.800, 0.9997
6404.940, 0.9997
6405.080, 0.9997
6405.220, 0.9996
6405.360, 0.9996
6405.500, 0.9996
6405.640, 0.9995
6405.780, 0.9994
6405.920, 0.9992
6406.060, 0.9989
6406.200, 0.9984
6406.340, 0.9978
6406.480, 0.9970
6406.620, 0.9959
6406.760, 0.9945
6406.900, 0.9928
6407.040, 0.9907
6407.180, 0.9885
6407.320, 0.9861
6407.460, 0.9837
6407.600, 0.9817
6407.740, 0.9801
6407.880, 0.9791
6408.020, 0.9789
6408.160, 0.9795
6408.300, 0.9808
6408.440, 0.9827
6408.580, 0.9851
6408.720, 0.9876
6408.860, 0.9900
6409.000, 0.9923
6409.140, 0.9942
6409.280, 0.9958
6409.420, 0.9969
6409.560, 0.9977
6409.700, 0.9980
6409.840, 0.9980
6409.980, 0.9977
6410.120, 0.9968
6410.260, 0.9955
6410.400, 0.9937
6410.540, 0.9913
6410.680, 0.9883
6410.820, 0.9848
6410.960, 0.9810
6411.100, 0.9772
6411.240, 0.9737
6411.380, 0.9709
6411.520, 0.9690
6411.660, 0.9684
6411.800, 0.9690
6411.940, 0.9709
6412.080, 0.9737
6412.220, 0.9772
6412.360, 0.9810
6412.500, 0.9848
6412.640, 0.9882
6412.780, 0.9912
6412.920, 0.9936
6413.060, 0.9954
6413.200, 0.9967
6413.340, 0.9975
6413.480, 0.9980
6413.620, 0.9981
6413.760, 0.9980
6413.900, 0.9977
6414.040, 0.9974
6414.180, 0.9969
6414.320, 0.9964
6414.460, 0.9960
6414.600, 0.9956
6414.740, 0.9953
6414.880, 0.9951
6415.020, 0.9951
6415.160, 0.9952
6415.300, 0.9955
6415.440, 0.9957
6415.580, 0.9960
6415.720, 0.9961
6415.860, 0.9962
6416.000, 0.9960
6416.140, 0.9957
6416.280, 0.9953
6416.420, 0.9948
6416.560, 0.9943
6416.700, 0.9939
6416.840, 0.9936
6416.980, 0.9935
6417.120, 0.9936
6417.260, 0.9940
6417.400, 0.9945
6417.540, 0.9951
6417.680, 0.9958
6417.820, 0.9964
6417.960, 0.9970
6418.100, 0.9974
6418.240, 0.9976
6418.380, 0.9976
6418.520, 0.9973
6418.660, 0.9968
6418.800, 0.9959
6418.940, 0.9947
6419.080, 0.9932
6419.220, 0.9915
6419.360, 0.9897
6419.500, 0.9878
6419.640, 0.9860
6419.780, 0.9843
6419.920, 0.9827
6420.060, 0.9812
6420.200, 0.9798
6420.340, 0.9782
6420.480, 0.9765
6420.620, 0.9746
6420.760, 0.9727
6420.900, 0.9707
6421.040, 0.9692
6421.180, 0.9682
6421.320, 0.9681
6421.460, 0.9689
6421.600, 0.9708
6421.740, 0.9735
6421.880, 0.9769
6422.020, 0.9806
6422.160, 0.9843
6422.300, 0.9878
6422.440, 0.9908
6422.580, 0.9934
6422.720, 0.9954
6422.860, 0.9968
6423.000, 0.9978
6423.140, 0.9985
6423.280, 0.9990
6423.420, 0.9992
6423.560, 0.9993
6423.700, 0.9994
6423.840, 0.9994
6423.980, 0.9993
6424.120, 0.9993
6424.260, 0.9992
6424.400, 0.9991
6424.540, 0.9991
6424.680, 0.9990
6424.820, 0.9990
6424.960, 0.9990
6425.100, 0.9990
6425.240, 0.9991
6425.380, 0.9991
6425.520, 0.9992
6425.660, 0.9992
6425.800, 0.9993
6425.940, 0.9993
6426.080, 0.9994
6426.220, 0.9994
6426.360, 0.9994
6426.500, 0.9995
6426.640, 0.9995
6426.780, 0.9995
6426.920, 0.9995
6427.060, 0.9996
6427.200, 0.9996
6427.340, 0.9996
6427.480, 0.9996
6427.620, 0.9996
6427.760, 0.9996
6427.900, 0.9996
6428.040, 0.9996
6428.180, 0.9995
6428.320, 0.9995
6428.460, 0.9994
6428.600, 0.9994
6428.740, 0.9992
6428.880, 0.9990
6429.020, 0.9985
6429.160, 0.9979
6429.300, 0.9969
6429.440, 0.9956
6429.580, 0.9937
6429.720, 0.9912
6429.860, 0.9881
6430.000, 0.9846
6430.140, 0.9807
6430.280, 0.9767
6430.420, 0.9730
6430.560, 0.9700
6430.700, 0.9679
6430.840, 0.9671
6430.980, 0.9675
6431.120, 0.9692
6431.260, 0.9718
6431.400, 0.9750
6431.540, 0.9785
6431.680, 0.9819
6431.820, 0.9848
6431.960, 0.9873
6432.100, 0.9891
6432.240, 0.9903
6432.380, 0.9912
6432.520, 0.9917
6432.660, 0.9922
6432.800, 0.9926
6432.940, 0.9931
6433.080, 0.9936
6433.220, 0.9943
6433.360, 0.9950
6433.500, 0.9958
6433.640, 0.9965
6433.780, 0.9971
6433.920, 0.9977
6434.060, 0.9981
6434.200, 0.9985
6434.340, 0.9988
6434.480, 0.9990
6434.620, 0.9992
6434.760, 0.9993
6434.900, 0.9994
6435.040, 0.9994
6435.180, 0.9994
6435.320, 0.9994
6435.460, 0.9994
6435.600, 0.9994
6435.740, 0.9993
6435.880, 0.9993
6436.020, 0.9992
6436.160, 0.9992
6436.300, 0.9991
6436.440, 0.9991
6436.580, 0.9990
6436.720, 0.9989
6436.860, 0.9988
6437.000, 0.9986
6437.140, 0.9982
6437.280, 0.9976
6437.420, 0.9967
6437.560, 0.9953
6437.700, 0.9934
6437.840, 0.9907
6437.980, 0.9873
6438.120, 0.9831
6438.260, 0.9783
6438.400, 0.9730
6438.540, 0.9677
6438.680, 0.9629
6438.820, 0.9590
6438.960, 0.9565
6439.100, 0.9557
6439.240, 0.9567
6439.380, 0.9594
6439.520, 0.9634
6439.660, 0.9683
6439.800, 0.9737
6439.940, 0.9790
6440.080, 0.9838
6440.220, 0.9880
6440.360, 0.9914
6440.500, 0.9940
6440.640, 0.9959
6440.780, 0.9972
6440.920, 0.9981
6441.060, 0.9986
6441.200, 0.9990
6441.340, 0.9992
6441.480, 0.9993
6441.620, 0.9993
6441.760, 0.9994
6441.900, 0.9994
6442.040, 0.9994
6442.180, 0.9994
6442.320, 0.9993
6442.460, 0.9993
6442.600, 0.9993
6442.740, 0.9993
6442.880, 0.9993
6443.020, 0.9992
6443.160, 0.9992
6443.300, 0.9992
6443.440, 0.9993
6443.580, 0.9993
6443.720, 0.9993
6443.860, 0.9993
6444.000, 0.9993
6444.140, 0.9994
6444.280, 0.9994
6444.420, 0.9994
6444.560, 0.9994
6444.700, 0.9994
6444.840, 0.9994
6444.980, 0.9994
6445.120, 0.9994
6445.260, 0.9994
6445.400, 0.9994
6445.540, 0.9994
6445.680, 0.9993
6445.820, 0.9993
6445.960, 0.9993
6446.100, 0.9993
6446.240, 0.9992
6446.380, 0.9992
6446.520, 0.9992
6446.660, 0.9993
6446.800, 0.9993
6446.940, 0.9993
6447.080, 0.9994
6447.220, 0.9994
6447.360, 0.9994
6447.500, 0.9994
6447.640, 0.9994
6447.780, 0.9993
6447.920, 0.9991
6448.060, 0.9988
6448.200, 0.9983
6448.340, 0.9976
6448.480, 0.9965
6448.620, 0.9951
6448.760, 0.9933
6448.900, 0.9911
6449.040, 0.9886
6449.180, 0.9858
6449.320, 0.9831
6449.460, 0.9807
6449.600, 0.9787
6449.740, 0.9774
6449.880, 0.9770
6450.020, 0.9775
6450.160, 0.9788
6450.300, 0.9808
6450.440, 0.9833
6450.580, 0.9859
6450.720, 0.9886
6450.860, 0.9910
6451.000, 0.9931
6451.140, 0.9949
6451.280, 0.9962
6451.420, 0.9972
6451.560, 0.9979
6451.700, 0.9983
6451.840, 0.9986
6451.980, 0.9988
6452.120, 0.9989
6452.260, 0.9990
6452.400, 0.9990
6452.540, 0.9990
6452.680, 0.9991
6452.820, 0.9991
6452.960, 0.9991
6453.100, 0.9992
6453.240, 0.9992
6453.380, 0.9991
6453.520, 0.9991
6453.660, 0.9990
6453.800, 0.9989
6453.940, 0.9986
6454.080, 0.9983
6454.220, 0.9979
6454.360, 0.9974
6454.500, 0.9967
6454.640, 0.9958
6454.780, 0.9948
6454.920, 0.9935
6455.060, 0.9921
6455.200, 0.9904
6455.340, 0.9887
6455.480, 0.9868
6455.620, 0.9849
6455.760, 0.9831
6455.900, 0.9815
6456.040, 0.9802
6456.180, 0.9795
6456.320, 0.9793
6456.460, 0.9798
6456.600, 0.9808
6456.740, 0.9825
6456.880, 0.9845
6457.020, 0.9867
6457.160, 0.9890
6457.300, 0.9911
6457.440, 0.9931
6457.580, 0.9948
6457.720, 0.9961
6457.860, 0.9971
6458.000, 0.9979
6458.140, 0.9984
6458.280, 0.9988
6458.420, 0.9990
6458.560, 0.9992
6458.700, 0.9993
6458.840, 0.9993
6458.980, 0.9994
6459.120, 0.9994
6459.260, 0.9994
6459.400, 0.9994
6459.540, 0.9994
6459.680, 0.9994
6459.820, 0.9993
6459.960, 0.9993
6460.100, 0.9992
6460.240, 0.9991
6460.380, 0.9990
6460.520, 0.9987
6460.660, 0.9982
6460.800, 0.9974
6460.940, 0.9962
6461.080, 0.9943
6461.220, 0.9917
6461.360, 0.9882
6461.500, 0.9836
6461.640, 0.9779
6461.780, 0.9714
6461.920, 0.9643
6462.060, 0.9572
6462.200, 0.9507
6462.340, 0.9454
6462.480, 0.9420
6462.620, 0.9408
6462.760, 0.9419
6462.900, 0.9453
6463.040, 0.9506
6463.180, 0.9570
6463.320, 0.9641
6463.460, 0.9712
6463.600, 0.9777
6463.740, 0.9833
6463.880, 0.9879
6464.020, 0.9914
6464.160, 0.9940
6464.300, 0.9957
6464.440, 0.9969
6464.580, 0.9977
6464.720, 0.9981
6464.860, 0.9984
6465.000, 0.9986
6465.140, 0.9987
6465.280, 0.9989
6465.420, 0.9989
6465.560, 0.9990
6465.700, 0.9991
6465.840, 0.9991
6465.980, 0.9992
6466.120, 0.9992
6466.260, 0.9992
6466.400, 0.9992
6466.540, 0.9992
6466.680, 0.9992
6466.820, 0.9992
6466.960, 0.9992
6467.100, 0.9992
6467.240, 0.9991
6467.380, 0.9991
6467.520, 0.9990
6467.660, 0.9990
6467.800, 0.9988
6467.940, 0.9986
6468.080, 0.9984
6468.220, 0.9981
6468.360, 0.9977
6468.500, 0.9973
6468.640, 0.9968
6468.780, 0.9964
6468.920, 0.9961
6469.060, 0.9959
6469.200, 0.9958
6469.340, 0.9959
6469.480, 0.9960
6469.620, 0.9962
6469.760, 0.9965
6469.900, 0.9966
6470.040, 0.9967
6470.180, 0.9965
6470.320, 0.9960
6470.460, 0.9951
6470.600, 0.9939
6470.740, 0.9923
6470.880, 0.9904
6471.020, 0.9883
6471.160, 0.9862
6471.300, 0.9843
6471.440, 0.9828
6471.580, 0.9818
6471.720, 0.9816
6471.860, 0.9821
6472.000, 0.9833
6472.140, 0.9849
6472.280, 0.9870
6472.420, 0.9891
6472.560, 0.9913
6472.700, 0.9932
6472.840, 0.9949
6472.980, 0.9962
6473.120, 0.9972
6473.260, 0.9979
6473.400, 0.9984
6473.540, 0.9987
6473.680, 0.9989
6473.820, 0.9989
6473.960, 0.9989
6474.100, 0.9988
6474.240, 0.9986
6474.380, 0.9984
6474.520, 0.9981
6474.660, 0.9976
6474.800, 0.9972
6474.940, 0.9966
6475.080, 0.9961
6475.220, 0.9956
6475.360, 0.9952
6475.500, 0.9950
6475.640, 0.9949
6475.780, 0.9950
6475.920, 0.9952
6476.060, 0.9956
6476.200, 0.9961
6476.340, 0.9966
6476.480, 0.9971
6476.620, 0.9976
6476.760, 0.9980
6476.900, 0.9983
6477.040, 0.9985
6477.180, 0.9987
6477.320, 0.9988
6477.460, 0.9988
6477.600, 0.9989
